OBJECTID,School Name,District,School Type,Agency Type,Grade Range,Lowest Grade,Highest Grade,School Style,Charter?,Virtual?,CESA,District ID,School Code,DPI Unique Join Code,NCES Code,NCES District Code,NCES School Code,Full Address,Physical Street Address,City,State,ZIP Code,County of District Office,Locale Code,Locale,School Website,Wisconsin Assembly District,Wisconsin Senate District,US Congressional District,County (Physical),Latitude,Longitude,x,y
1096,Lineville Intermediate,Howard-Suamico,Elementary School,Public school,05-06,05,06,Regular,No,No,7,2604,0110,S26040110,550663002456,5506630,02456,"2700 Lineville Rd  Green Bay, WI 54313-7151",2700 Lineville Rd,Green Bay,WI,54313-7151,Brown,22,Suburb - Midsize,https://www.hssd.k12.wi.us,4,2,8,Brown,44.59184019,-88.08750086,671800.9573,459389.6371
1097,Link2Learn Virtual Charter School,Chetek-Weyerhaeuser Area,Combined Elementary/Secondary School,Public school,K4-12,K4,12,Regular,Yes,Yes,11,1080,0800,S10800800,550006102897,5500061,02897,"1001 Knapp St  Chetek, WI 54728-9107",1001 Knapp St,Chetek,WI,54728-9107,Barron,43,Rural - Remote,https://www.cwasd.k12.wi.us,67,23,7,Barron,45.31372284,-91.66134371,389777.3972,539144.460999999
1098,Little Chute Career Pathways Academy,Little Chute Area,High School,Public school,09-12,09,12,Regular,Yes,No,6,3129,0410,S31290410,550816002905,5508160,02905,"1402 Freedom Rd  Little Chute, WI 54140-1313",1402 Freedom Rd,Little Chute,WI,54140-1313,Outagamie,22,Suburb - Midsize,https://www.lccpa.littlechute.k12.wi.us,5,2,8,Outagamie,44.28781549,-88.31118895,654743.1911,425227.496099999
1099,Little Chute Elementary,Little Chute Area,Elementary School,Public school,PK-04,K4,04,Regular,No,No,6,3129,0020,S31290020,550816000900,5508160,00900,"901 Grand Ave  Little Chute, WI 54140-1700",901 Grand Ave,Little Chute,WI,54140-1700,Outagamie,22,Suburb - Midsize,https://www.littlechute.k12.wi.us,5,2,8,Outagamie,44.28328931,-88.31632121,654344.0247,424716.335200001
1100,Little Chute High,Little Chute Area,High School,Public school,09-12,09,12,Regular,No,No,6,3129,0040,S31290040,550816000901,5508160,00901,"1402 Freedom Rd  Little Chute, WI 54140-1313",1402 Freedom Rd,Little Chute,WI,54140-1313,Outagamie,22,Suburb - Midsize,https://www.littlechute.k12.wi.us,5,2,8,Outagamie,44.28781549,-88.31118895,654743.1911,425227.496099999
1101,Little Chute Intermediate,Little Chute Area,Elementary School,Public school,05-06,05,06,Regular,No,No,6,3129,0100,S31290100,550816002858,5508160,02858,"1402 Freedom Rd  Little Chute, WI 54140-3300",1402 Freedom Rd,Little Chute,WI,54140-3300,Outagamie,22,Suburb - Midsize,https://www.littlechute.k12.wi.us,5,2,8,Outagamie,44.28781549,-88.31118895,654743.1911,425227.496099999
1102,Little Chute Middle,Little Chute Area,Middle School,Public school,07-08,07,08,Regular,No,No,6,3129,0060,S31290060,550816000902,5508160,00902,"1402 Freedom Rd  Little Chute, WI 54140-3300",1402 Freedom Rd,Little Chute,WI,54140-3300,Outagamie,22,Suburb - Midsize,https://www.littlechute.k12.wi.us,5,2,8,Outagamie,44.28781549,-88.31118895,654743.1911,425227.496099999
1103,Little Prairie Primary,East Troy Community,Elementary School,Public school,PK-02,K4,02,Regular,No,No,2,1540,0020,S15400020,550402000409,5504020,00409,"2109 Townline Rd  East Troy, WI 53120",2109 Townline Rd,East Troy,WI,53120,Walworth,41,Rural - Fringe,https://www.easttroy.k12.wi.us,33,11,1,Walworth,42.78448411,-88.429323,648471.0979,258078.8243
1104,Little Stars Pre-School,Colby,Elementary School,Public school,PK-K4,K4,K4,Regular,No,No,10,1162,0120,S11620120,550273000312,5502730,00312,"202 West Dolf St  Colby, WI 54421",202 West Dolf St,Colby,WI,54421,Clark,43,Rural - Remote,https://www.colby.k12.wi.us,69,23,7,Clark,44.91871799,-90.32036457,494714.6963,493970.9791
1105,Little Wolf High,Manawa,High School,Public school,09-12,09,12,Regular,No,No,6,3276,0040,S32760040,550855000968,5508550,00968,"515 E 4th St  Manawa, WI 54949-9230",515 E 4th St,Manawa,WI,54949-9230,Waupaca,42,Rural - Distant,https://www.manawaschools.org,57,19,8,Waupaca,44.4597183,-88.91272786,606495.2869,443509.6538
1106,Locust Lane Elementary,Eau Claire Area,Elementary School,Public school,KG-05,KG,05,Regular,No,No,10,1554,0220,S15540220,550405000424,5504050,00424,"3245 Locust Ln  Eau Claire, WI 54703-1100",3245 Locust Ln,Eau Claire,WI,54703-1100,Eau Claire,13,City - Small,https://www.ecasd.us/locust-lane-elementary/home,91,31,3,Eau Claire,44.85296137,-91.46215997,404464.9771,487656.3345
1107,Lodi Elementary,Lodi,Elementary School,Public school,03-05,03,05,Regular,No,No,5,3150,0040,S31500040,550819000904,5508190,00904,"101 School St  Lodi, WI 53555-1046",101 School St,Lodi,WI,53555-1046,Columbia,42,Rural - Distant,https://www.lodi.k12.wi.us,42,14,6,Columbia,43.31837951,-89.52621076,558417.8178,316280.2612
1108,Lodi High,Lodi,High School,Public school,09-12,09,12,Regular,No,No,5,3150,0080,S31500080,550819000905,5508190,00905,"1100 Sauk St  Lodi, WI 53555-1098",1100 Sauk St,Lodi,WI,53555-1098,Columbia,42,Rural - Distant,https://www.lodi.k12.wi.us,42,14,6,Columbia,43.31361987,-89.54995988,556494.9354,315741.030200001
1109,Lodi Middle,Lodi,Middle School,Public school,06-08,06,08,Regular,No,No,5,3150,0100,S31500100,550819000906,5508190,00906,"900 Sauk St  Lodi, WI 53555",900 Sauk St,Lodi,WI,53555,Columbia,42,Rural - Distant,https://www.lodi.k12.wi.us,42,14,6,Columbia,43.31297478,-89.54322403,557041.5554,315672.3551
1110,Lodi Primary,Lodi,Elementary School,Public school,PK-02,K4,02,Regular,No,No,5,3150,0020,S31500020,550819000903,5508190,00903,"1307 Sauk St  Lodi, WI 53555",1307 Sauk St,Lodi,WI,53555,Columbia,42,Rural - Distant,https://www.lodi.k12.wi.us,42,14,6,Columbia,43.30988999,-89.55571358,556030.5556,315324.312200001
1111,Logan High,La Crosse,High School,Public school,09-12,09,12,Regular,No,No,4,2849,0220,S28490220,550753000865,5507530,00865,"1500 Ranger Dr  La Crosse, WI 54603-2713",1500 Ranger Dr,La Crosse,WI,54603-2713,La Crosse,13,City - Small,https://www.lacrosseschools.org,95,32,3,La Crosse,43.84469689,-91.23415516,420794.6516,375364.079
1112,Logan Middle,La Crosse,Middle School,Public school,06-08,06,08,Regular,No,No,4,2849,0200,S28490200,550753000864,5507530,00864,"1450 Avon St  La Crosse, WI 54603-2400",1450 Avon St,La Crosse,WI,54603-2400,La Crosse,13,City - Small,https://www.lacrosseschools.org,94,32,3,La Crosse,43.84364608,-91.24467013,419947.6628,375260.037
1113,Lombardi Middle,Green Bay Area Public,Middle School,Public school,06-08,06,08,Regular,No,No,7,2289,0425,S22890425,550582000631,5505820,00631,"1520 S Point Rd  Green Bay, WI 54313-5497",1520 S Point Rd,Green Bay,WI,54313-5497,Brown,12,City - Midsize,https://www.gbaps.org,89,30,8,Brown,44.51571422,-88.11050658,670170.6265,450891.0429
1114,Lomira Elementary,Lomira,Elementary School,Public school,PK-05,01,05,Regular,No,No,6,3171,0040,S31710040,550822000907,5508220,00907,"1030 4th St  Lomira, WI 53048-9558",1030 4th St,Lomira,WI,53048-9558,Dodge,42,Rural - Distant,https://www.lomira.k12.wi.us,37,13,6,Dodge,43.58958314,-88.44693307,645371.6468,347462.092900001
1115,Lomira High,Lomira,High School,Public school,09-12,09,12,Regular,No,No,6,3171,0060,S31710060,550822000908,5508220,00908,"1030 4th St  Lomira, WI 53048-9558",1030 4th St,Lomira,WI,53048-9558,Dodge,42,Rural - Distant,https://www.lomira.k12.wi.us,37,13,6,Dodge,43.58958314,-88.44693307,645371.6468,347462.092900001
1116,Lomira Middle,Lomira,Middle School,Public school,06-08,06,08,Regular,No,No,6,3171,0070,S31710070,550822000909,5508220,00909,"1030 4th St  Lomira, WI 53048-9558",1030 4th St,Lomira,WI,53048-9558,Dodge,42,Rural - Distant,https://www.lomira.k12.wi.us,37,13,6,Dodge,43.58958314,-88.44693307,645371.6468,347462.092900001
1117,Longfellow Elementary,Eau Claire Area,Elementary School,Public school,KG-05,KG,05,Regular,No,No,10,1554,0240,S15540240,550405000425,5504050,00425,"512 Balcom St  Eau Claire, WI 54703-3201",512 Balcom St,Eau Claire,WI,54703-3201,Eau Claire,13,City - Small,https://www.ecasd.us/longfellow-elementary/home,91,31,3,Eau Claire,44.81925872,-91.49074606,402137.4992,483953.5569
1118,Longfellow Elementary,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,No,No,1,3619,0256,S36190256,550960001209,5509600,01209,"1021 S 21st St  Milwaukee, WI 53204-2030",1021 S 21st St,Milwaukee,WI,53204-2030,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,8,3,4,Milwaukee,43.02024597,-87.93999548,687854.9928,285122.2642
1119,Longfellow Elementary,Sheboygan Area,Elementary School,Public school,PK-05,K4,05,Regular,No,No,7,5271,0200,S52710200,551365001790,5513650,01790,"819 Kentucky Ave  Sheboygan, WI 53081-4954",819 Kentucky Ave,Sheboygan,WI,53081-4954,Sheboygan,13,City - Small,https://www.sheboygan.k12.wi.us,26,9,6,Sheboygan,43.74125591,-87.71377416,704093.0382,365675.474300001
1120,Longfellow Middle,La Crosse,Middle School,Public school,06-08,06,08,Regular,No,No,4,2849,0240,S28490240,550753000866,5507530,00866,"1900 Denton St  La Crosse, WI 54601-5898",1900 Denton St,La Crosse,WI,54601-5898,La Crosse,13,City - Small,https://www.lacrosseschools.org,96,32,3,La Crosse,43.79559685,-91.2275837,421241.9783,369902.9023
1121,Longfellow Middle,Wauwatosa,Middle School,Public school,06-08,06,08,Regular,No,No,1,6244,0140,S62440140,551599002083,5515990,02083,"7600 W North Ave  Wauwatosa, WI 53213-1719",7600 W North Ave,Wauwatosa,WI,53213-1719,Milwaukee,21,Suburb - Large,https://longfellow.wauwatosa.k12.wi.us/o/longfellow,13,5,4,Milwaukee,43.06175222,-88.0087387,682144.0569,289596.5222
1122,Lowell Elementary,Madison Metropolitan,Elementary School,Public school,K4-05,K4,05,Regular,No,No,2,3269,0495,S32690495,550852000946,5508520,00946,"401 Maple Ave  Madison, WI 53704-5894",401 Maple Ave,Madison,WI,53704-5894,Dane,11,City - Large,https://lowell.madison.k12.wi.us/,76,26,2,Dane,43.09299839,-89.34039954,573681.8733,291353.3015
1123,Lowell Elementary,Waukesha,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,6174,0260,S61740260,551578002017,5515780,02017,"140 N Grandview Blvd  Waukesha, WI 53188-4299",140 N Grandview Blvd,Waukesha,WI,53188-4299,Waukesha,13,City - Small,https://www.waukesha.k12.wi.us,82,28,5,Waukesha,43.01500002,-88.25907482,661866.9693,283951.087400001
1124,Lowell International Elementary,Milwaukee,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,3619,0257,S36190257,550960001210,5509600,01210,"4360 S 20th St  Milwaukee, WI 53221-2367",4360 S 20th St,Milwaukee,WI,53221-2367,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,9,3,4,Milwaukee,42.96523868,-87.93835311,688138.7753,279016.808700001
1125,Loyal Elementary,Loyal,Elementary School,Public school,PK-05,K4,05,Regular,No,No,10,3206,0020,S32060020,550825000911,5508250,00911,"514 W Central  Loyal, WI 54446",514 W Central,Loyal,WI,54446,Clark,43,Rural - Remote,https://www.loyal.k12.wi.us,69,23,7,Clark,44.73647797,-90.50266101,480201.439,473799.998600001
1126,Loyal High,Loyal,High School,Public school,09-12,09,12,Regular,No,No,10,3206,0060,S32060060,550825000912,5508250,00912,"514 W Central  Loyal, WI 54446",514 W Central,Loyal,WI,54446,Clark,43,Rural - Remote,https://www.loyal.k12.wi.us,69,23,7,Clark,44.73647797,-90.50266101,480201.439,473799.998600001
1127,Loyal Middle School,Loyal,Middle School,Public school,06-08,06,08,Regular,No,No,10,3206,0040,S32060040,550825000913,5508250,00913,"514 W Central  Loyal, WI 54446",514 W Central,Loyal,WI,54446,Clark,43,Rural - Remote,https://www.loyal.k12.wi.us,69,23,7,Clark,44.73647797,-90.50266101,480201.439,473799.998600001
1128,Luck Elementary,Luck,Elementary School,Public school,PK-05,K4,05,Regular,No,No,11,3213,0040,S32130040,550828000914,5508280,00914,"810 S 7th St  Luck, WI 54853-9028",810 S 7th St,Luck,WI,54853-9028,Polk,43,Rural - Remote,https://www.lucksd.k12.wi.us,75,25,7,Polk,45.5688795,-92.47218804,327092.6087,569121.6677
1129,Luck High,Luck,High School,Public school,09-12,09,12,Regular,No,No,11,3213,0060,S32130060,550828000915,5508280,00915,"810 S 7th St  Luck, WI 54853-9028",810 S 7th St,Luck,WI,54853-9028,Polk,43,Rural - Remote,https://www.lucksd.k12.wi.us,75,25,7,Polk,45.5688795,-92.47218804,327092.6087,569121.6677
1130,Luck Middle,Luck,Middle School,Public school,06-08,06,08,Regular,No,No,11,3213,0200,S32130200,550828003124,5508280,03124,"810 S 7th St  Luck, WI 54853-9028",810 S 7th St,Luck,WI,54853-9028,Polk,43,Rural - Remote,https://www.lucksd.k12.wi.us,75,25,7,Polk,45.5688795,-92.47218805,327092.6085,569121.6677
1131,Luther Elementary,Fort Atkinson,Elementary School,Public school,KG-05,KG,05,Regular,No,No,2,1883,0100,S18830100,550474002416,5504740,02416,"205 Park St  Fort Atkinson, WI 53538-2155",205 Park St,Fort Atkinson,WI,53538-2155,Jefferson,32,Town - Distant,https://www.fortschools.org,46,16,5,Jefferson,42.91898442,-88.83961325,614705.8611,272471.3213
1132,Luxemburg-Casco High,Luxemburg-Casco,High School,Public school,09-12,09,12,Regular,No,No,7,3220,0140,S32200140,550834000918,5508340,00918,"512 Center Dr  Luxemburg, WI 54217",512 Center Dr,Luxemburg,WI,54217,Kewaunee,42,Rural - Distant,https://www.luxcasco.k12.wi.us,1,1,8,Kewaunee,44.54622914,-87.70130927,702597.1323,455114.3683
1133,Luxemburg-Casco Intermediate,Luxemburg-Casco,Elementary School,Public school,03-06,03,06,Regular,No,No,7,3220,0100,S32200100,550834000916,5508340,00916,"318 N Main St  Luxemburg, WI 54217",318 N Main St,Luxemburg,WI,54217,Kewaunee,42,Rural - Distant,https://www.luxcasco.k12.wi.us,1,1,8,Kewaunee,44.54807496,-87.70243636,702501.8296,455316.8814
1134,Luxemburg-Casco Middle,Luxemburg-Casco,Middle School,Public school,07-08,07,08,Regular,No,No,7,3220,0120,S32200120,550834000917,5508340,00917,"512 Center Drive  Luxemburg, WI 54217",512 Center Drive,Luxemburg,WI,54217,Kewaunee,42,Rural - Distant,https://www.luxcasco.k12.wi.us,1,1,8,Kewaunee,44.54622914,-87.70130927,702597.1323,455114.3683
1135,Luxemburg-Casco Primary,Luxemburg-Casco,Elementary School,Public school,PK-02,K4,02,Regular,No,No,7,3220,0110,S32200110,550834002525,5508340,02525,"601 Marcks Ln  Luxemburg, WI 54217",601 Marcks Ln,Luxemburg,WI,54217,Kewaunee,42,Rural - Distant,https://www.luxcasco.k12.wi.us,1,1,8,Kewaunee,44.54910759,-87.69987443,702702.1007,455437.3167
1136,Lyndon Station Elementary,Mauston,Elementary School,Public school,01-04,01,04,Regular,No,No,5,3360,0040,S33600040,550885001024,5508850,01024,"200 Hoehn Dr  Lyndon Station, WI 53944",200 Hoehn Dr,Lyndon Station,WI,53944,Juneau,42,Rural - Distant,https://www.maustonschools.org,41,14,3,Juneau,43.70851714,-89.90042355,528022.4339,359504.127699999
1138,MacArthur Elementary,Germantown,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,2058,0120,S20580120,550516000555,5505160,00555,"W154N11492 Fond du Lac Ave  Germantown, WI 53022-3499",W154N11492 Fond du Lac Ave,Germantown,WI,53022-3499,Washington,21,Suburb - Large,https://www.gsdwi.org,24,8,5,Washington,43.22764233,-88.10200478,674131.9152,307843.4087
1139,MacArthur Elementary,Green Bay Area Public,Elementary School,Public school,K4-05,K4,05,Regular,No,No,7,2289,0430,S22890430,550582000632,5505820,00632,"1331 Hobart Dr  Green Bay, WI 54304-1499",1331 Hobart Dr,Green Bay,WI,54304-1499,Brown,12,City - Midsize,https://www.gbaps.org,89,30,8,Brown,44.51872699,-88.09033268,671766.1688,451262.9812
1140,MacDowell Montessori School K3-12,Milwaukee,Combined Elementary/Secondary School,Public school,PK-12,K4,12,Regular,No,No,1,3619,0870,S36190870,550960002931,5509600,02931,"6415 W Mount Vernon Ave  Milwaukee, WI 53213-4025",6415 W Mount Vernon Ave,Milwaukee,WI,53213-4025,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,14,5,4,Milwaukee,43.03317839,-87.99277791,683519.6604,286454.261299999
1141,Madison Elementary,Janesville,Elementary School,Public school,PK-05,K4,05,Regular,No,No,2,2695,0220,S26950220,550702000767,5507020,00767,"331 N Grant Ave  Janesville, WI 53548-3429",331 N Grant Ave,Janesville,WI,53548-3429,Rock,13,City - Small,https://www.janesville.k12.wi.us/mad,44,15,1,Rock,42.68382062,-89.04829522,597968.7428,246143.6128
1142,Madison Elementary,Manitowoc,Elementary School,Public school,KG-05,KG,05,Regular,No,No,7,3290,0160,S32900160,550861000977,5508610,00977,"701 N 4th St  Manitowoc, WI 54220-3932",701 N 4th St,Manitowoc,WI,54220-3932,Manitowoc,32,Town - Distant,https://madison.manitowocpublicschools.org,25,9,6,Manitowoc,44.10085339,-87.65122256,707993.5984,405756.870200001
1143,Madison Elementary,Marshfield Unified,Elementary School,Public school,K4-06,K4,06,Regular,No,No,5,3339,0100,S33390100,550882001019,5508820,01019,"510 N Palmetto Ave  Marshfield, WI 54449-3099",510 N Palmetto Ave,Marshfield,WI,54449-3099,Wood,32,Town - Distant,https://www.marshfieldschools.org/domain/63,86,29,7,Wood,44.66817349,-90.15870557,507419.586,466102.0054
1144,Madison Elementary,Stevens Point Area Public,Elementary School,Public school,PK-06,KG,06,Regular,No,No,5,5607,0190,S56070190,551449001874,5514490,01874,"600 Maria Dr  Stevens Point, WI 54481-1499",600 Maria Dr,Stevens Point,WI,54481-1499,Portage,32,Town - Distant,https://www.pointschools.net,71,24,3,Portage,44.53458185,-89.58906306,552649.2511,451332.5743
1145,Madison Elementary,Wauwatosa,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,6244,0160,S62440160,551599002085,5515990,02085,"9925 W Glendale Ave  Wauwatosa, WI 53225-4799",9925 W Glendale Ave,Wauwatosa,WI,53225-4799,Milwaukee,21,Suburb - Large,https://madison.wauwatosa.k12.wi.us/o/madison,12,4,4,Milwaukee,43.10079869,-88.03604605,679818.8542,293880.377
1146,Madison Middle,Appleton Area,Middle School,Public school,06-08,06,08,Regular,No,No,6,0147,0300,S01470300,550039000060,5500390,00060,"2020 S Carpenter St  Appleton, WI 54915-4899",2020 S Carpenter St,Appleton,WI,54915-4899,Calumet,13,City - Small,https://www.aasd.k12.wi.us,3,1,8,Calumet,44.24316997,-88.39199517,648393.1201,420138.9767
1147,Magee Elementary,Kettle Moraine,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,1376,0160,S13760160,550351000378,5503510,00378,"W313S4134 Hwy 83  Genesee Depot, WI 53127-0037",W313S4134 Hwy 83,Genesee Depot,WI,53127-0037,Waukesha,31,Town - Fringe,https://www.kmsd.edu/magee,97,33,5,Waukesha,42.9697358,-88.37274654,652701.1204,278738.6391
1148,Magee Elementary,Two Rivers Public,Elementary School,Public school,K4-04,K4,04,Regular,No,No,7,5824,0110,S58240110,551512002627,5515120,02627,"3502 Glenwood St  Two Rivers, WI 54241-1599",3502 Glenwood St,Two Rivers,WI,54241-1599,Manitowoc,32,Town - Distant,https://www.trschools.k12.wi.us,25,9,6,Manitowoc,44.16620976,-87.58239638,713289.055,413175.7883
1149,Mahone Middle,Kenosha,Middle School,Public school,06-08,06,08,Regular,No,No,1,2793,0215,S27930215,550732002538,5507320,02538,"6900 60th St  Kenosha, WI 53144-7409",6900 60th St,Kenosha,WI,53144-7409,Kenosha,13,City - Small,https://www.kusd.edu,64,22,1,Kenosha,42.58448288,-87.89389929,692820.347,236823.842
1150,Maine Elementary,Wausau,Elementary School,Public school,KG-05,KG,05,Regular,No,No,9,6223,0260,S62230260,551590002058,5515900,02058,"5901 N 44th Ave  Wausau, WI 54401-9717",5901 N 44th Ave,Wausau,WI,54401-9717,Marathon,41,Rural - Fringe,https://www.wausauschools.org,35,12,7,Marathon,45.02634822,-89.69196353,544266.8561,505923.508300001
1151,Malone Elementary,Prescott,Elementary School,Public school,PK-05,KG,05,Regular,No,No,11,4578,0040,S45780040,551224001591,5512240,01591,"505 Campbell St N  Prescott, WI 54021-1073",505 Campbell St N,Prescott,WI,54021-1073,Pierce,41,Rural - Fringe,https://www.prescott.k12.wi.us,29,10,3,Pierce,44.75424737,-92.79263822,298957.671,479445.234300001
1152,Manawa Elementary,Manawa,Elementary School,Public school,PK-05,K4,05,Regular,No,No,6,3276,0060,S32760060,550855000969,5508550,00969,"800 Beech St  Manawa, WI 54949-8664",800 Beech St,Manawa,WI,54949-8664,Waupaca,42,Rural - Distant,https://www.manawaschools.org,57,19,8,Waupaca,44.45823548,-88.90846206,606836.8412,443349.465700001
1153,Manawa Middle,Manawa,Middle School,Public school,06-08,06,08,Regular,No,No,6,3276,0080,S32760080,550855000970,5508550,00970,"515 E 4th St  Manawa, WI 54949-9230",515 E 4th St,Manawa,WI,54949-9230,Waupaca,42,Rural - Distant,https://www.manawaschools.org,57,19,8,Waupaca,44.4597183,-88.91272786,606495.2869,443509.6538
1154,Manitoba Elementary,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,No,No,1,3619,0265,S36190265,550960001213,5509600,01213,"4040 W Forest Home Ave  Milwaukee, WI 53215-3538",4040 W Forest Home Ave,Milwaukee,WI,53215-3538,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,9,3,4,Milwaukee,42.99138247,-87.96589369,685822.3214,281865.4123
1155,Manz Elementary,Eau Claire Area,Elementary School,Public school,KG-05,KG,05,Regular,No,No,10,1554,0280,S15540280,550405000427,5504050,00427,"1000 E Fillmore Ave  Eau Claire, WI 54701-6539",1000 E Fillmore Ave,Eau Claire,WI,54701-6539,Eau Claire,13,City - Small,https://www.ecasd.us/manz-elementary/home,93,31,3,Eau Claire,44.78966575,-91.48525389,402511.6619,480658.307
1156,Maple Avenue Elementary,Hamilton,Elementary School,Public school,KG-04,KG,04,Regular,No,No,1,2420,0100,S24200100,550603000666,5506030,00666,"W240N6059 Maple Ave  Sussex, WI 53089-3698",W240N6059 Maple Ave,Sussex,WI,53089-3698,Waukesha,21,Suburb - Large,https://www.hamilton.k12.wi.us,98,33,5,Waukesha,43.12776866,-88.2267099,664239.6496,296529.619100001
1157,Maple Dale School,Maple Dale-Indian Hill,Combined Elementary/Secondary School,Public school,04-08,04,08,Regular,No,No,1,1897,0040,S18970040,550477000516,5504770,00516,"8377 N Port Washington Rd  Fox Point, WI 53217-2653",8377 N Port Washington Rd,Fox Point,WI,53217-2653,Milwaukee,21,Suburb - Large,https://www.mapledale.k12.wi.us,23,8,4,Milwaukee,43.16896509,-87.91291522,689650.4244,301692.7981
1158,Maple Grove Elementary,Greenfield,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,2303,0160,S23030160,550594000655,5505940,00655,"6921 W Coldspring Rd  Greenfield, WI 53220-2910",6921 W Coldspring Rd,Greenfield,WI,53220-2910,Milwaukee,21,Suburb - Large,https://www.greenfield.k12.wi.us,7,3,5,Milwaukee,42.96591714,-87.99913431,683179.7878,278972.3237
1159,Maple Grove Charter School,Athens,Elementary School,Public school,KG-05,KG,05,Regular,Yes,No,9,0196,0100,S01960100,550057003145,5500570,03145,"135594 County Road L  Athens, WI 54411-9552",135594 County Road L,Athens,WI,54411-9552,Marathon,42,Rural - Distant,https://www.athens1.org,69,23,7,Marathon,45.09097124,-89.86439478,530670.8399,513065.175899999
1160,Maple Park Charter School,Lake Geneva J1,Elementary School,Public school,PK-08,04,08,Regular,Yes,Yes,2,2885,0150,S28850150,550762003107,5507620,03107,"W1380 Lake Geneva Highway  Lake Geneva, WI 53147-2436",W1380 Lake Geneva Highway,Lake Geneva,WI,53147-2436,Walworth,41,Rural - Fringe,https://lakegenevaschools.com,32,11,1,Walworth,42.54602676,-88.36782925,654012.3409,231694.7182
1161,Maple Tree Elementary,Milwaukee,Elementary School,Public school,PK-05,K4,05,Regular,No,No,1,3619,0267,S36190267,550960001214,5509600,01214,"6644 N 107th St  Milwaukee, WI 53224-5006",6644 N 107th St,Milwaukee,WI,53224-5006,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,12,4,4,Milwaukee,43.13878633,-88.04418525,679058.0293,298083.6062
1162,Mapleview Intermediate,Kimberly Area,Elementary School,Public school,05-06,05,06,Regular,No,No,6,2835,0140,S28350140,550747002642,5507470,02642,"125 E Kimberly Ave  Kimberly, WI 54136-1402",125 E Kimberly Ave,Kimberly,WI,54136-1402,Outagamie,22,Suburb - Midsize,https://www.kimberly.k12.wi.us,2,1,8,Outagamie,44.27153196,-88.33318745,653024.7547,423382.911800001
1163,Maplewood Middle,Menasha Joint,Middle School,Public school,06-08,06,08,Regular,No,No,6,3430,0020,S34300020,550903001053,5509030,01053,"1600 Midway Rd  Menasha, WI 54952-1228",1600 Midway Rd,Menasha,WI,54952-1228,Winnebago,22,Suburb - Midsize,https://www.mjsd.k12.wi.us,53,18,6,Winnebago,44.23062915,-88.41173917,646843.5697,418715.334100001
1164,Marathon Elementary,Marathon City,Elementary School,Public school,K4-05,K4,05,Regular,No,No,9,3304,0020,S33040020,550867000991,5508670,00991,"100 Spring Valley Dr  Marathon, WI 54448",100 Spring Valley Dr,Marathon,WI,54448,Marathon,41,Rural - Fringe,https://www.marathon.k12.wi.us,86,29,7,Marathon,44.92921618,-89.83112175,533326.5675,495101.134099999
1165,Marathon High,Marathon City,High School,Public school,09-12,09,12,Regular,No,No,9,3304,0040,S33040040,550867000992,5508670,00992,"204 East St  Marathon, WI 54448",204 East St,Marathon,WI,54448,Marathon,41,Rural - Fringe,https://www.marathon.k12.wi.us,86,29,7,Marathon,44.93311783,-89.83350084,533137.9388,495534.1645
1166,Marathon Venture Academy,Marathon City,Middle School,Public school,06-08,06,08,Regular,Yes,No,9,3304,0210,S33040210,550867002893,5508670,02893,"100 Spring Valley Dr  Marathon, WI 54448",100 Spring Valley Dr,Marathon,WI,54448,Marathon,41,Rural - Fringe,https://www.marathon.k12.wi.us,86,29,7,Marathon,44.92921618,-89.83112175,533326.5675,495101.134099999
1167,Marcy Elementary,Hamilton,Elementary School,Public school,KG-04,KG,04,Regular,No,No,1,2420,0120,S24200120,550603000667,5506030,00667,"W180N4851 Marcy Rd  Menomonee Falls, WI 53051-6599",W180N4851 Marcy Rd,Menomonee Falls,WI,53051-6599,Waukesha,21,Suburb - Large,https://www.hamilton.k12.wi.us,24,8,5,Waukesha,43.10570754,-88.13712393,671581.2165,294237.761
1168,Marengo Valley Elementary,Ashland,Elementary School,Public school,K4-05,K4,05,Regular,No,No,12,0170,0120,S01700120,550051000079,5500510,00079,"62408 State Hwy 112  Ashland, WI 54806-4128",62408 State Hwy 112,Ashland,WI,54806-4128,Ashland,42,Rural - Distant,https://www.ashland.k12.wi.us,74,25,7,Ashland,46.44373816,-90.87355173,452901.7475,663722.465299999
1169,Marinette High,Marinette,High School,Public school,09-12,09,12,Regular,No,No,8,3311,0060,S33110060,550870000995,5508700,00995,"2135 Pierce Ave  Marinette, WI 54143-3947",2135 Pierce Ave,Marinette,WI,54143-3947,Marinette,32,Town - Distant,https://www.marinette.k12.wi.us,36,12,8,Marinette,45.08234945,-87.63098547,706446.8531,514828.6986
